state,zipcode,n1,numdep,agi,numfarm,taxamt,contrib,elderly,n2
GA,31410,11450,5870,1121918000,40,140740000,50146000,3590,21460
GA,31411,4480,1560,912481000,30,144935000,39417000,2970,8710
GA,31415,4500,3740,115757000,0,5321000,2264000,800,8380
GA,31419,24210,13780,1228454000,40,105151000,26626000,4980,43670
GA,31501,5310,4120,234435000,60,19558000,3366000,1260,10660
GA,31503,7870,5940,341562000,290,23625000,3946000,1850,16440
GA,31510,3590,3060,169790000,360,12828000,1860000,750,7770
GA,31512,700,590,32722000,100,2211000,465000,160,1530
GA,31513,5780,4620,274583000,460,21720000,4470000,1280,12240
GA,31516,5940,4400,321703000,290,28678000,6462000,1350,12470
GA,31518,270,190,13007000,50,877000,151000,70,560
GA,31519,1380,1110,64296000,130,4648000,1342000,310,2930
GA,31520,8240,6360,289469000,0,20943000,5875000,1680,15830
GA,31522,8610,3300,1147091000,70,155343000,54636000,4070,15270
GA,31523,6430,4300,402932000,50,36584000,6817000,1690,13100
GA,31525,12800,8020,616039000,40,48594000,9343000,3000,24170
GA,31527,440,50,43167000,0,5113000,1232000,290,700
GA,31532,250,190,11456000,30,773000,0,70,530
GA,31533,5790,5150,235979000,170,18556000,4483000,1050,12140
GA,31535,4480,3970,206382000,210,16435000,4035000,810,9710
GA,31537,3040,2300,135694000,90,9200000,1554000,690,6290
GA,31539,5090,4620,219481000,260,15380000,6563000,960,11270
GA,31542,950,700,46422000,80,3193000,487000,240,2060
GA,31543,1750,1460,70590000,20,4143000,458000,340,3840
GA,31544,220,190,8431000,30,460000,0,60,500
GA,31545,5810,4760,262111000,110,18617000,5850000,1290,12400
GA,31546,2300,1820,122996000,60,9832000,2474000,560,4940
GA,31548,9380,7110,475259000,30,33603000,7232000,1740,19880
GA,31549,600,530,22241000,40,1275000,206000,150,1280
GA,31550,320,190,14635000,40,1014000,0,70,640
GA,31551,340,230,14089000,60,824000,0,80,690
GA,31552,410,260,21703000,50,2015000,0,100,820
GA,31553,1900,1460,81039000,80,5205000,552000,400,4010
GA,31554,1930,1630,74458000,170,4320000,544000,360,4140
GA,31555,1150,840,62945000,100,4842000,910000,310,2500
GA,31557,1250,960,58781000,90,3940000,587000,290,2690
GA,31558,8920,6040,522140000,20,44436000,6961000,2100,18520
GA,31560,1030,810,50786000,70,3542000,607000,240,2260
GA,31562,590,430,24321000,20,1287000,0,160,1290
GA,31563,500,350,25149000,90,1759000,385000,170,1060
GA,31565,910,460,57514000,20,5427000,876000,290,1700
GA,31566,1230,1040,47691000,0,2753000,278000,230,2680
GA,31567,300,230,12153000,30,682000,0,80,640
GA,31568,410,270,23095000,0,1888000,362000,100,860
GA,31569,2280,1540,132745000,20,10307000,1976000,600,4680
GA,31601,11280,9490,402284000,100,29850000,6450000,1800,22580
GA,31602,13790,9080,788705000,80,88043000,17388000,2860,25940
GA,31605,9700,7000,581555000,60,57271000,10954000,1820,20060
GA,31606,1530,1150,74264000,40,5097000,1118000,350,3250
GA,31620,4040,3240,187993000,120,15397000,2828000,840,8460
GA,31622,750,560,31772000,100,2026000,607000,180,1560
GA,31624,490,420,20582000,50,1383000,207000,80,1070
GA,31625,420,280,19856000,40,1552000,173000,120,830
GA,31626,1320,930,59994000,80,4516000,822000,340,2620
GA,31629,350,230,15583000,30,1167000,0,100,690
GA,31630,170,130,6497000,0,324000,0,50,360
GA,31631,180,120,6950000,0,367000,0,50,350
GA,31632,5360,4390,350378000,190,32734000,9511000,1050,11930
GA,31634,1970,1750,90622000,110,7463000,1589000,410,4310
GA,31635,2300,1850,93713000,90,6074000,823000,400,4930
GA,31636,4180,3020,228019000,140,19972000,3634000,1000,8610
GA,31637,1090,750,46726000,100,3090000,369000,280,2240
GA,31638,340,290,14743000,20,1009000,0,100,740
GA,31639,3850,2910,185127000,190,16283000,1972000,850,8020
GA,31641,820,600,38996000,20,2713000,351000,190,1710
GA,31642,1730,1630,59153000,130,2793000,594000,300,3840
GA,31643,3250,2470,149456000,120,12106000,3613000,760,6530
