state,zipcode,n1,numdep,agi,numfarm,taxamt,contrib
NC,28594,2270,740,246199000,0,33675000,16695000
NC,28601,23520,13690,1656081000,80,201738000,29295000
NC,28602,12500,8000,618221000,70,53494000,6998000
NC,28604,2990,1240,177931000,50,17519000,2737000
NC,28605,1930,690,196102000,20,27419000,3947000
NC,28606,840,500,34728000,0,2230000,156000
NC,28607,11530,4580,713322000,150,74354000,15956000
NC,28609,2800,1550,189857000,50,20996000,1792000
NC,28610,4680,2830,220913000,60,16640000,1725000
NC,28611,310,140,16062000,0,1329000,0
NC,28612,4690,2800,207710000,60,14730000,1483000
NC,28613,10580,6770,569755000,60,50835000,6483000
NC,28615,720,390,28352000,70,1939000,0
NC,28617,860,490,39077000,60,3225000,0
NC,28618,1070,570,54777000,40,4160000,723000
NC,28621,4160,2490,201669000,130,15072000,2082000
NC,28622,920,540,35514000,40,2135000,284000
NC,28623,640,360,35292000,60,3106000,0
NC,28624,640,330,27704000,40,2023000,0
NC,28625,17150,10170,933024000,330,84805000,11633000
NC,28626,1070,520,60120000,40,4985000,799000
NC,28627,550,270,23431000,30,1764000,0
NC,28630,8390,4790,436268000,80,37535000,4399000
NC,28631,250,140,11289000,30,723000,0
NC,28634,2130,1370,95125000,120,6350000,361000
NC,28635,1500,910,62865000,50,3907000,142000
NC,28636,2190,1380,95174000,130,6104000,868000
NC,28637,1040,510,46609000,0,3273000,348000
NC,28638,5330,3100,235016000,30,15677000,1703000
NC,28640,2010,1040,107972000,110,10068000,1312000
NC,28642,2180,1320,94195000,70,6187000,533000
NC,28643,1250,580,51064000,90,3235000,231000
NC,28644,620,290,29619000,60,2224000,0
NC,28645,18750,11190,839022000,140,65465000,7874000
NC,28649,390,210,15119000,0,861000,0
NC,28650,5860,3560,289655000,60,21562000,2920000
NC,28651,2750,1560,127817000,50,9319000,699000
NC,28654,1560,850,75547000,30,5782000,1161000
NC,28655,21730,12950,1052807000,200,85633000,12098000
NC,28657,3470,1800,153083000,140,10211000,1202000
NC,28658,12180,7440,659256000,80,58845000,12451000
NC,28659,8250,4990,388908000,130,31652000,5426000
NC,28660,970,610,47878000,60,3525000,398000
NC,28663,260,110,11999000,30,803000,0
NC,28665,1050,540,57551000,30,4904000,374000
NC,28668,170,40,26403000,0,5090000,187000
NC,28669,1160,670,46844000,80,2573000,0
NC,28670,1100,690,53551000,70,3808000,475000
NC,28673,3200,1570,317176000,30,44120000,4073000
NC,28675,2540,1400,125145000,180,10853000,1479000
NC,28676,1510,820,97789000,70,10537000,831000
NC,28677,15640,10020,734122000,110,59633000,8297000
NC,28678,2140,1330,100106000,70,6892000,665000
NC,28679,850,450,46390000,50,3636000,401000
NC,28681,10460,5920,540775000,240,44843000,6748000
NC,28682,640,250,70131000,0,9696000,896000
NC,28683,670,370,29542000,40,1891000,0
NC,28684,820,430,46551000,40,4044000,473000
NC,28685,680,380,31799000,50,2182000,0
NC,28689,860,540,52243000,80,5480000,805000
NC,28690,3940,2280,187944000,20,13812000,2308000
NC,28692,1830,830,105064000,90,9255000,1277000
NC,28693,590,300,24445000,40,1601000,0
NC,28694,3410,1710,174602000,150,13934000,1816000
NC,28697,5340,3150,340995000,60,35058000,6580000
NC,28698,860,440,39774000,30,2882000,127000
NC,28701,1890,940,106122000,50,9427000,978000
NC,28702,190,70,9225000,0,735000,0
NC,28704,10940,5760,787764000,30,94318000,10695000
NC,28705,2370,1230,111132000,110,7736000,653000
NC,28708,220,150,9255000,0,653000,0
NC,28709,940,500,46432000,60,3660000,447000
NC,28711,6390,2600,405947000,30,40320000,7207000
NC,28712,8260,3340,555709000,80,56047000,11472000
NC,28713,3910,2050,174996000,60,13060000,1750000
NC,28714,6440,3380,320537000,240,24670000,2468000
NC,28715,12400,6680,735211000,90,69905000,10790000
NC,28716,8000,4140,385342000,140,29141000,2063000
NC,28717,1260,520,121889000,0,16832000,2363000
NC,28718,300,100,21115000,0,2205000,0
NC,28719,4350,2610,178350000,20,12152000,365000
NC,28721,4680,2510,250605000,150,20610000,3374000
NC,28722,2860,1290,180277000,50,16522000,3271000
NC,28723,2940,1130,139614000,30,12020000,1554000
NC,28726,1510,1060,54844000,0,3004000,386000
NC,28729,1840,760,108956000,0,9453000,1061000
NC,28730,4540,2290,361413000,50,44090000,5862000
NC,28731,4260,1800,331263000,30,40272000,6251000
NC,28732,8950,5090,648236000,70,70033000,11163000
NC,28734,11660,6060,605163000,170,45847000,13305000
NC,28735,140,40,7602000,0,673000,0
NC,28736,320,100,21059000,0,2562000,182000
NC,28739,9420,3650,688243000,40,73912000,10611000
NC,28740,910,460,39740000,60,2511000,0
NC,28741,1770,580,191501000,0,28364000,6628000
NC,28742,1480,750,88952000,0,7798000,1004000
NC,28743,830,400,37026000,50,2994000,202000
NC,28745,700,220,50829000,0,4774000,1488000
NC,28746,1240,370,100501000,0,12498000,1469000
NC,28747,780,400,48147000,0,5040000,912000
NC,28748,5700,3100,276736000,260,21111000,2374000
NC,28751,1960,680,103345000,0,9410000,1173000
NC,28752,12240,7530,541013000,110,37482000,3946000
NC,28753,4790,2470,225831000,340,17604000,1265000
NC,28754,3470,1680,178146000,170,14430000,1912000
NC,28756,1760,1010,107569000,50,11385000,1482000
NC,28759,3470,1830,281491000,40,32021000,3588000
NC,28761,3460,1900,186352000,40,16080000,2284000
NC,28762,3050,1570,130929000,40,8643000,459000
NC,28763,1160,630,50702000,20,3147000,291000
NC,28766,710,380,38964000,0,2964000,238000
NC,28768,3120,1420,184970000,30,17854000,2115000
NC,28771,3140,2170,138996000,70,9236000,921000
NC,28772,800,480,32847000,0,2161000,191000
NC,28773,1510,580,90163000,0,8083000,1214000
NC,28774,510,130,47758000,0,5655000,894000
NC,28775,270,110,16846000,0,1790000,0
NC,28777,3650,2030,173789000,60,13179000,1728000
NC,28778,4810,2310,236525000,0,19094000,2077000
NC,28779,6670,3470,335845000,40,28302000,3079000
NC,28781,320,160,14199000,0,988000,0
NC,28782,2670,1000,187156000,40,19675000,3216000
NC,28783,550,340,25370000,0,1942000,0
NC,28785,3480,1510,200916000,90,18808000,2276000
NC,28786,9350,4230,502923000,100,44738000,7399000
NC,28787,10440,5040,633775000,160,59070000,7899000
NC,28789,2730,1370,118458000,30,8424000,866000
NC,28790,1370,730,74784000,20,6335000,686000
NC,28791,6810,2910,450306000,0,44063000,5750000
NC,28792,14590,7750,729825000,130,58222000,10240000
NC,28801,6900,2280,463984000,0,60211000,8388000
NC,28803,16500,6550,1517980000,40,215148000,33933000
NC,28804,10650,4000,1048633000,50,151613000,21985000
NC,28805,9240,3500,584685000,30,60579000,8533000
NC,28806,20970,9820,1015966000,60,88957000,7035000
NC,28901,2000,1270,86295000,30,5929000,856000
NC,28902,590,310,33492000,30,3049000,408000
NC,28904,3710,1770,203931000,100,18913000,2694000
NC,28905,1230,710,51555000,0,3256000,217000
NC,28906,8210,3680,384081000,140,30519000,4188000
NC,28909,410,200,16224000,0,973000,0
SC,29001,830,590,33401000,20,2266000,327000
SC,29003,2500,1820,105789000,70,8180000,1201000
SC,29006,3870,2710,175698000,160,13325000,1544000
SC,29009,950,630,41167000,50,2744000,138000
SC,29010,4440,3220,167316000,100,11299000,1590000
SC,29014,740,440,33311000,40,2231000,0
SC,29015,660,510,25000000,20,1645000,215000
SC,29016,11500,8370,906423000,80,99774000,21562000
SC,29018,1430,1090,54080000,50,3263000,848000
SC,29020,10140,6360,579029000,100,55812000,7175000
SC,29030,800,470,50747000,70,4546000,1430000
SC,29031,530,360,18210000,0,1044000,0
SC,29032,1680,1320,64067000,30,3552000,437000
SC,29033,5880,2570,272250000,0,22874000,2351000
SC,29036,12130,8040,1223780000,90,152462000,22698000
SC,29037,380,200,18970000,0,1621000,0
SC,29038,1050,740,48825000,40,3377000,454000
SC,29039,1570,1200,54430000,30,3024000,523000
SC,29040,4050,2640,173718000,20,11303000,1174000
SC,29042,1640,1300,56379000,40,3508000,914000
SC,29044,2200,1390,85105000,30,5728000,678000
SC,29045,12130,8410,792288000,50,81666000,12403000
SC,29047,1470,860,63143000,30,4594000,632000
SC,29048,2020,1330,82626000,0,5576000,919000
SC,29051,370,250,12975000,0,758000,0
SC,29052,850,510,28620000,0,1624000,357000
SC,29053,7680,5930,297061000,50,19547000,2074000
SC,29054,4680,3050,374216000,110,43579000,6521000
SC,29055,1680,1180,65296000,0,4159000,294000
SC,29056,920,590,33111000,30,2261000,589000
SC,29058,1960,1310,87208000,70,5903000,770000
SC,29059,2430,1820,93625000,40,5846000,991000
SC,29061,6470,4220,275919000,50,20196000,4563000
SC,29063,17830,11520,1255031000,60,131516000,21372000
SC,29065,340,200,13398000,0,830000,0
SC,29067,3590,2450,160376000,100,11504000,1199000
SC,29069,2070,1500,85030000,50,5751000,756000
SC,29070,6890,4170,379322000,220,32031000,3891000
SC,29072,28100,19980,2493409000,190,294714000,45798000
SC,29073,21130,14440,1159010000,70,95510000,11298000
SC,29075,1450,810,92996000,50,8942000,841000
SC,29078,7380,5040,386504000,50,30137000,3419000
SC,29080,1190,860,42324000,40,2542000,432000
SC,29081,430,290,20945000,60,1567000,0
